Region;Comuna;Titular;Nombre;Tecnologia;Inversion_MMUS;Capacidad_MW;Posicion
Región de Coquimbo;Salamanca;CVE Proyecto Treinta y Uno SpA;Parque Fotovoltaico Perséfone Solar;Solar;22;12.22;15
Región de Valparaíso;Panquehue;CVE PROYECTO CINCUENTA Y TRES SPA;Parque Fotovoltaico Cronos Solar;Solar;5;5.1;2
Región de Los Lagos;Puerto Montt;Hidroeléctrica Rio Chico SpA;Minicentral Hidroeléctrica Río Chico;Hidro;12;6.0;12
Región del Biobío;Los Angeles-Laja;Energía Eólica Rinconada SpA;Parque Eólico Rinconada;Eólica;365;302.4;9
Región del Maule;Villa Alegre;PARQUE SOLAR VILLA ALEGRE SPA;Parque Fotovoltaico Villa Alegre;Solar;11;11.0;13
Región Metropolitana de Santiago;María Pinto;Oenergy Generación Solar Distribuida SpA;Parque Fotovoltaico Los Cisnes;Solar;12;8.0;1
Región de Atacama;Copiapó;San Francisco SpA;Parque Solar Fotovoltaico San Francisco;Solar;9.5;12.5;16
Región de Valparaíso;Panquehue;PMGD Cruz SpA;Repotenciamiento Proyecto PMGD Cruz 2;Solar;6.2;9.1;2
Región de La Araucanía;Collipulli;Parque Eólico San Andrés SpA.;Parque Eólico San Andrés;Eólica;135;130.2;14
Región de Coquimbo;Punitaqui;Solar Piemonte Spa;Planta Fotovoltaica Punitaqui;Solar;11;9.0;15
Región de Valparaíso;El Quisco;Litoral Solar Spa;Parque Fotovoltaico Litoral Solar;Solar;10;9.0;2
Región del Maule;Licantén-Vichuquén;Lobo Solar SpA;Parque Solar Vichuquén Santa Elena;Solar;12;11.82;13
Región de Valparaíso;Quillota;Sociedad Boco Solar SpA;Fotovoltaico El Boco II;Solar;7.9;6.0;2
Región de Valparaíso;Quillota;GR Tepu SpA;Planta Fotovoltaica Don Guido 9 MW;Solar;9.9;10.84;2
Región de Ñuble;San Ignacio-Bulnes;LA MOCHA SOLAR SPA;La Mocha Solar;Solar;160;193.8;3
Región del Libertador Gral. Bernardo O’Higgins;Coltauco;ORION POWER SpA;Parque solar fotovoltaico Los Bronces;Solar;20;10.52;6
Región de Antofagasta;Calama;ANDES GREEN COMPANY SOCIEDAD ANONIMA;SEONGNAM;Solar;4000;1009.0;7
Región de Ñuble;Yungay;Ravenna Solar SpA;Planta Fotovoltaica Ravenna Solar;Solar;12;12.06;3
Región del Maule;Cauquenes;SOCIEDAD ENERGIAS RENOVABLES EL QUILLAY SPA;PMGD La Montaña;Solar;9;10.416;13
Región del Maule;Cauquenes;Parque Solar Viveros SpA;Parque Fotovoltaico Cauquenes;Solar;10.7;10.66;13
Región de Los Ríos;Los Lagos;Colbún S.A.;Adecuaciones Central Hidroeléctrica San Pedro;Hidro;442;170.0;4
Región de Valparaíso;Hijuelas;ANDES SOLAR S.A.;Planta Solar Fotovoltaica Ocoa 2;Solar;6;6.0;2
Región de Valparaíso;Casablanca;ANDINA SOLAR 14 SPA;Parque Fotovoltaico El Manzano III;Solar;3.1;2.36376;2
Región del Maule;Colbún;AR Energía Chile SpA;Proyecto AR Panimávida Solar;Solar;110;128.38;13
Región de Ñuble;Yungay;MVC Solar 17 SpA;Parque Fotovoltaico Trilaleo;Solar;9;10.16;3
Región del Maule;Romeral;Parque Solar Aurora SpA;Parque Fotovoltaico Curicura;Solar;9;10.67;13
Región de Antofagasta;Taltal;SAGESA SA;Plantas Fotovoltaicas Armazones y Paranal;Solar;12;10.016;7
Región del Biobío;Los Angeles;SANTA LAURA ENERGY SpA;Avel Solar;Solar;12;9.0;9
Región de Atacama;Freirina;El Condor Solar SpA;PROYECTO FOTOVOLTAICO LAS TABLAS;Solar;12;12.6;16
Región de Los Lagos;Frutillar;Windkraft _Villa Alegre 1 SPA;Instalación de 3 Aerogeneradores Villa Alegre 1;Eólica;17;20.4;12
Región Metropolitana de Santiago;Padre Hurtado;Parque Fotovoltaico Doña Petronia SpA;Parque Fotovoltaico Doña Petronia;Solar;11;11.0;1
Región de Tarapacá;Pozo Almonte;GR Chañar SpA;Parque Fotovoltaico Víctor Jara;Solar;225;216.71;8
Región del Maule;San Rafael;Alejandro Claudio Silva Zamora;Parque Fotovoltaico San Rafael;Solar;12.2;12.24;13
Región de Antofagasta;Sierra Gorda;Fontus Prime Solar SpA;Parque Solar Fotovoltaico Quebrada del Sol;Solar;9.5;12.5;7
Región de Coquimbo;Coquimbo;Enlasa Generacion Chile S.A.;Peñon Solar;Solar;12;13.24;15
Región de Ñuble;San Carlos;Impulso Solar San José SpA;Parque Solar San José;Solar;3;3.49;3
Región Metropolitana de Santiago;Curacaví;SOLAR TI VEINTIDOS SPA;Parque Fotovoltaico Chicha Solar;Solar;12;11.42;1
Región del Libertador Gral. Bernardo O’Higgins;Doñihue;PLANTA SOLAR EL MILAGRO SPA;Planta Solar El Milagro;Solar;10;6.5;6
Región de Coquimbo;Ovalle;EÓLICA DE LA COSTA SpA;Ampliación Parque Eólico Camarico (Nuevo Parque Eólico ECOS del MAR;Eólica;119.2;79.5;15
Región Metropolitana de Santiago;Padre Hurtado;GRENERGY RENOVABLES PACIFIC LIMITADA;Planta Fotovoltaica Violeta;Solar;13.5;10.79;1
Región de Atacama;Tierra Amarilla;GRENERGY RENOVABLES PACIFIC LIMITADA;Planta Fotovoltaica Tierra;Solar;13.5;9.58;16
Región Aisén del Gral.Carlos Ibáñez del Campo;Coyhaique;EÓLICA KOSTEN AIKE SPA;Proyecto Eólico Kosten Aike;Eólica;62;36.0;10
Región de Valparaíso;Putaendo;FV Rinconada SpA;Parque Solar Gran Rinconada Norte;Solar;3.5;4.04;2
Región de Atacama;Copiapó;Rigel Solar Spa;Parque Fotovoltaico Rigel;Solar;12;12.5;16
Región Metropolitana de Santiago;Melipilla;Patagua SpA;Parque Solar Fotovoltaico Patagua;Solar;10.2;10.71;1
Región del Libertador Gral. Bernardo O’Higgins;Litueche;CERCEDA ENERGIA SPA;Parque Solar Fotovoltaico Olona;Solar;11;11.36;6
Región del Maule;Linares;GR Algarrobo SpA;Planta Fotovoltaica Adelma;Solar;13.5;10.79;13
Región del Maule;Curicó;PFV EL LORO CHOROY SPA;Parque Fotovoltaico Loro Choroy;Solar;12;12.0;13
Región de Ñuble;Chillán;Pilar Solar SpA;Parque Fotovoltaico Santa Eulalia;Solar;7;6.089;3
Región Metropolitana de Santiago;Til-Til;CVE PROYECTO VEINTIUNO SPA;Clementina Solar;Solar;7.6;8.1;1
Región de Arica y Parinacota;Arica;Don Arturo Spa;Parque Solar Fotovoltaico Don Arturo;Solar;9.5;12.5;5
Región de Atacama;Tierra Amarilla-Copiapó;Copiapó Solar SpA;Parque Fotovoltaico Solar Wing;Solar;375;212.0;16
Región del Libertador Gral. Bernardo O’Higgins;Coinco;GRENERGY RENOVABLES PACIFIC LIMITADA;Planta Fotovoltaica Doñihue;Solar;7.3;7.5;6
Región de Valparaíso;Casablanca-Valparaíso;Energía Eólica Curauma SpA;Parque eólico Cerro Piedra;Eólica;75;63.0;2
Región de La Araucanía;Curarrehue;Hidrowatt Huirinlil spa;Central Hidroeléctrica de Pasada Huirinlil;Hidro;9;3.7;14
Región del Maule;Constitución;PFV EL CARPINTERO SPA;Parque Fotovoltaico El Carpintero;Solar;12;12.0;13
Región de Valparaíso;Zapallar;LENERGIA CHILE SpA;Planta Fotovoltaica Ovejería;Solar;15;7.4952;2
Región de Coquimbo;Ovalle;Mantos del Sol SpA;MANTOS DEL SOL;Solar;8.7;10.66;15
Región de Coquimbo;Coquimbo;PFV CHIRIHUE SPA;Parque Fotovoltaico Chirihue;Solar;66;29.0;15
Región del Maule;Talca;FELIPE SOLAR SpA;FV Conde;Solar;13;10.8;13
Región de Ñuble;Bulnes;BUTLER CORPORATION SPA;Larqui Solar;Solar;12;12.0;3
Región de Valparaíso;La Ligua-Papudo;PARQUE FOTOVOLTAICO  ANDINO LONGOTOMA SPA;Parque Fotovoltaico Andino Longotoma;Solar;200;234.0;2
Región Metropolitana de Santiago;Buin;FOTOVOLTAICA BOLDO SPA;Planta Fotovoltaica La Colonia;Solar;15;9.9;1
Región del Libertador Gral. Bernardo O’Higgins;Rengo;ORION POWER S.A.;Parque solar fotovoltaico Santa Isabel;Solar;12;11.64;6
Región de Ñuble;Chillán;Energy Lancuyen SpA;Proyecto Planta Solar San Juan;Solar;10;11.0;3
Región de Arica y Parinacota;Arica;Parque Solar Panguilemo SpA;Parque Fotovoltaico Las Machas;Solar;10.7;10.52;5
Región del Maule;Romeral;Nicolas Solar SpA;Proyecto fotovoltaico Quilvo;Solar;10;10.5;13
Región de Atacama;Chañaral-Diego de Almagro;Sonnedix Chile Holding SpA;Planta Solar Fotovoltaica Tres Cruces;Solar;140;150.042;16
Región de Antofagasta;Calama;Paine Energy SpA;Parque Fotovoltaico Verano de San Juan II;Solar;10.2;9.0;7
Región del Libertador Gral. Bernardo O’Higgins;Marchihue;GR PIMIENTO SPA;Planta Fotovoltaica Alcones;Solar;11.5;9.0;6
Región de Antofagasta;Antofagasta;GRENERGY RENOVABLES PACIFIC LIMITADA;Planta Fotovoltaica Alto Norte 9 MW;Solar;13.5;10.75;7
Región de Antofagasta;Antofagasta;AR Pampa SpA;Parque Fotovoltaico Pampa Tigre;Solar;150;142.0;7
Región de Atacama;Copiapó;INCA DE VARAS II S.A.;Central Fotovoltaica Inca de Varas II;Solar;130;95.0;16
Región del Libertador Gral. Bernardo O’Higgins;Chépica;Parque Fotovoltaico Chépica SpA;Parque Solar Fotovoltaico Chépica;Solar;6.6;7.6;6
Región del Libertador Gral. Bernardo O’Higgins;San Vicente;CVE Proyecto Cincuenta SpA;Parque Fotovoltaico Hacienda Tagua Tagua;Solar;11;9.0;6
Región del Libertador Gral. Bernardo O’Higgins;Requinoa;Alto Bellavista SpA;Parque Fotovoltaico Alto Bellavista;Solar;10;11.87;6
Región del Libertador Gral. Bernardo O’Higgins;Las Cabras-Litueche;Parque Fotovoltaico Andino Occidente SpA;Parque Fotovoltaico Andino Occidente I;Solar;180;180.0;6
Región del Maule;Teno;Mariquina Solar I SpA;Parque Fotovoltaico El Coipo Solar;Solar;183;120.0;13
Región del Libertador Gral. Bernardo O’Higgins;Quinta de Tilcoco;GR Guindo SpA;Planta Fotovoltaica Quinta;Solar;7.8;8.0;6
Región de Ñuble;Pemuco;Engie Energía Chile S.A.;Parque Eólico Pemuco;Eólica;230;194.4;3
Región de Los Ríos;Paillaco;ENERGIA RENOVABLE LAPISLAZULI SPA;Parque Fotovoltaico Nueva Paillaco;Solar;15;7.42;4
Región de Tarapacá;Pozo Almonte;Pesquero Solar SpA;Proyecto Fotovoltaico Solferino;Solar;12;13.5;8
Región de Los Ríos;San José de la Mariquina;ORION POWER SpA;Parque Solar Fotovoltaico Las Camelias;Solar;20;11.54;4
Región de Atacama;Diego de Almagro;Inmobiliaria e Inversiones Los Coihues S.A.;Modificación Parque Fotovoltaico Sierra Soleada;Solar;9.5;11.0;16
Región de Antofagasta;María Elena;TS3;Parque Fotovoltaico Santa Isabel II;Solar;200;155.0;7
Región de Antofagasta;Antofagasta;Gaviota Solar SpA;Parque fotovoltaico con capacidad de almacenamiento Gaviota Solar;Solar;28;9.0;7
Región del Biobío;Los Angeles;Sol del Sur 15 SpA;Parque Fotovoltaico Chacaico;Solar;9;11.016;9
Región de Coquimbo;Monte Patria;Don Pedro SpA;Parque Fotovoltaico Don Pedro;Solar;12;9.0;15
Región del Biobío;Santa Bárbara;Compañía Eléctrica Los Morros S. A.;Pequeña Central Hidroeléctrica de Pasada Huequecura;Hidro;9.7;3.3;9
Región del Maule;Molina;Itahue II SpA;Parque Fotovoltaico Itahue II;Solar;8.5;8.93;13
Región Metropolitana de Santiago;San Bernardo;MAKOHE SPA;Parque Solar Makohe;Solar;12;15.22;1
Región del Maule;Teno;RTN Solar SpA;Planta Fotovoltaica RTN Solar SpA;Solar;6;6.99;13
Región de Los Ríos;La Unión;BLUE SOLAR VEINTE SPA;Parque Solar Burgos;Solar;21;21.27;4
Región Metropolitana de Santiago;Padre Hurtado;Incahuasi energy SpA;Ampliación Parque Fotovoltaico Guanaco del Verano I;Solar;6.2;6.0;1
Región de Ñuble;Bulnes;Parque Solar Aura SpA;Parque Fotovoltaico Aura, Bulnes;Solar;10.5;9.0;3
Región del Maule;Villa Alegre;PARQUE SOLAR SANTA FE SPA;Parque Solar Santa Fe;Solar;7.7;9.3;13
Región de Los Lagos;Ancud;Parque Eólico Urospora SpA;PMGD Eólico Urospora;Eólica;7.7;11.0;12
Región de Ñuble;Chillán;Blu Solar SpA;Planta Fotovoltaica Blu Solar;Solar;15;10.85;3
Región del Libertador Gral. Bernardo O’Higgins;Malloa;Malloa Solar SpA;Parque Fotovoltaico Malloa Solar;Solar;10;10.03;6
Región de Tarapacá;Alto Hospicio;Andromeda Solar SpA;Parque Fotovoltaico Andrómeda;Solar;12;12.5;8
Región de Antofagasta;Antofagasta;SOLAR TI TREINTA Y UNO SPA;Parque Fotovoltaico La Perla del Norte;Solar;12;13.9;7
Región de Antofagasta;Antofagasta;PFV EL AGUILUCHO SPA;Parque Fotovoltaico El Aguilucho;Solar;12;12.0;7
Región Metropolitana de Santiago;Melipilla;SOLAR TI CINCUENTA Y CINCO SPA;Parque Fotovoltaico Ostolazas;Solar;12;20.14;1
Región del Maule;Yerbas Buenas;PFV EL FLAMENCO SPA;Parque Fotovoltaico El Flamenco;Solar;12;12.0;13
Región Metropolitana de Santiago;Lampa;CVE Proyecto Cuarenta y Tres SpA;Parque Fotovoltaico Matilde Solar;Solar;12.8;11.6;1
Región de Ñuble;Chillán;Marina Solar SpA;FV Aldea;Solar;12;8.38;3
Región de Valparaíso;Panquehue;TULIPAN VII SPA;Planta Fotovoltaica Tulipán;Solar;15;12.61;2
Región de Antofagasta;Calama;Zapaleri de Verano SpA;Parque Fotovoltaico Mila del Verano;Solar;90;91.85;7
Región del Biobío;Laja;Solek Chile Services SpA;Parque Fotovoltaico Laja;Solar;10;3.24;9
Región Metropolitana de Santiago;Lampa;Volcán Chascón SpA;Parque Fotovoltaico Volcán Chascón;Solar;155;90.0;1
Región del Biobío;Los Angeles;Energía Eólica Don Álvaro SpA;Parque Eólico Don Álvaro;Eólica;154;72.0;9
Región de Coquimbo;Canela-Ovalle;PACIFIC HYDRO CHILE S.A.;Parque hibrido Amolanas;Eólica-Solar;340;199.1;15
Región del Biobío;Los Angeles;MVC Solar 27 SpA;PARQUE FOTOVOLTAICO CORCOLENES;Solar;9;11.016;9
Región de Valparaíso;San Felipe;PMGD Mauco SpA;Ampliación Parque Fotovoltaico Mauco;Solar;2.4;3.02;2
Región de Ñuble;San Carlos;Sol del Sur 19 Spa;Parque Fotovoltaico San Camilo;Solar;9;7.344;3
Región de Coquimbo;La Higuera;La Serena Ocho SpA;Parque Fotovoltaico Los Rastrojos;Solar;185;153.014;15
Región del Maule;Talca;GR Huacano SpA;Planta Fotovoltaica Clementine;Solar;9.9;10.79;13
Región del Maule;Hualañé;Parque Solar Fotovoltaico Chimango SpA;PARQUE SOLAR FOTOVOLTAICO CHIMANGO;Solar;140;187.5;13
Región de Valparaíso;Los Andes-Calle Larga;Tercera Región Solar SpA;Meseta de Los Andes;Solar;165;191.93;2
Región del Libertador Gral. Bernardo O’Higgins;Peralillo;Solar TI Tres SpA.;Parque Solar Newentún;Solar;12;8.23;6
Región de La Araucanía;Loncoche;ENERGIA RENOVABLE MAGENTA SPA;Parque Fotovoltaico La Escuela;Solar;8;6.0;14
Región de Valparaíso;Limache;Solek Chile Services SpA;Parque Fotovoltaico Tabolango PMG;Solar;10;3.23;2
Región de Atacama;Caldera;CALDERA SOLAR SPA;Parque Fotovoltaico Caldera;Solar;12;9.0;16
Región de Ñuble;Chillán Viejo;Venturada Energía SpA;PSF Chillán II;Solar;10;9.0;3
Región de Antofagasta;Antofagasta;GR Lauca SpA;Planta Fotovoltaica Bonasort;Solar;9.9;10.89;7
Región Metropolitana de Santiago;Buin;EE Land SpA;Parque Solar Alfa;Solar;10;6.014;1
Región del Libertador Gral. Bernardo O’Higgins;Doñihue;PFV DOÑIHUE SPA;Planta Fotovoltaica LO MIRANDA;Solar;8.2;7.2;6
Región de Los Lagos;Puerto Octay;HIDRONALCAS SPA;Hidrosolar Nalcas Bajo;Hidro-Solar;6.2;3.1;12
Región de La Araucanía;Collipulli-Angol;Empresa Eléctrica Alpes SpA;Parque Eólico Los Alpes;Eólica;130;105.6;14
Región del Biobío;Los Angeles;Parque Eólico Campo Lindo SpA;Modificación Parque Eólico Campo Lindo;Eólica;89;68.4;9
Región del Biobío;Mulchén;CENTRAL EL ATAJO SPA;Minicentral El Portal;Hidro;3;3.0;9
Región Metropolitana de Santiago;Til-Til;Solek Chile Holding SpA;Parque Fotovoltaico Alsol;Solar;10;10.66;1
Región del Maule;Linares;PFV PICAFLOR AZUL SPA;Parque Fotovoltaico Picaflor Azul;Solar;4;3.6;13
Región del Biobío;Cabrero;Sol del Sur 9 SpA;Parque Fotovoltaico La Quinta;Solar;9;11.016;9
Región Metropolitana de Santiago;Melipilla;Parque Solar Beta SpA;Parque Solar Beta;Solar;7;7.73;1
Región de Tarapacá;Pozo Almonte;FRV Services Chile SpA;Parque Solar Fotovoltaico Tirana Oeste;Solar;303;371.0;8
Región de Antofagasta;Taltal;Vientos de Taltal SpA;Parque Híbrido Eólico y Solar Vientos de Taltal;Eólica-Solar;750;539.0;7
Región del Biobío;Negrete;Windkraft Uno Chile SpA;Instalación de tres aerogeneradores en fundo Las Marías;Eólica;17;16.2;9
Región Metropolitana de Santiago;San Bernardo;Solek Chile Holding SpA;Parque Fotovoltaico Tara;Solar;10;10.66;1
Región de La Araucanía;Freire;Minicentral Hidroeléctrica Saltos de los Andes S.A;Central Hidroeléctrica Los Aromos;Hidro;21.1;19.9;14
Región del Libertador Gral. Bernardo O’Higgins;Malloa;PFV EL MIRLO SPA;Parque Fotovoltaico El Mirlo;Solar;12;12.0;6
Región de Valparaíso;Cabildo;PARQUE SOLAR LOS PALTOS SPA;Parque Solar Los Paltos;Solar;16.1;6.098;2
Región de Ñuble;Yungay;Sol del Sur 1 SpA;Parque Fotovoltaico Yungay II;Solar;9;11.016;3
Región del Libertador Gral. Bernardo O’Higgins;Placilla;GRENERGY RENOVABLES PACIFIC LIMITADA;Planta Fotovoltaica Placilla;Solar;8.8;9.0;6
Región del Maule;Retiro;MIRACEA SPA.;Parque Solar Fotovoltaico Miracea;Solar;13;9.0;13
Región de Coquimbo;Coquimbo;EL PENÓN SpA;Parque Fotovoltaico El Peñón;Solar;9;10.5;15
Región de Coquimbo;Salamanca;Grupo Energy inversiones Spa;Planta Solar La Colonia;Solar;10;6.0;15
Región Metropolitana de Santiago;Padre Hurtado;Grupo energy Lancuyen spa;Planta Solar Las Violetas;Solar;10;9.98;1
Región del Maule;Teno;GR Algarrobo SpA;Parque Fotovoltaico Gran Teno 200 MW;Solar;205;239.28;13
Región de Los Lagos;Osorno;ENERGIA RENOVABLE CRISTAL SPA;PARQUE FOTOVOLTAICO LAS MENTAS;Solar;15;10.89;12
Región del Maule;Talca;TALTAL SOLAR S.A.;Parque Fotovoltaico Quinantu;Solar;12;9.0;13
Región de Valparaíso;Limache-Villa Alemana;PFV LIMACHINO SPA;Planta Fotovoltaica Limachino;Solar;8;7.13;2
Región de La Araucanía;Cunco;ENERGIA RENOVABLE LAVANDA SPA;Parque Fotovoltaico Las Hortensias;Solar;11;11.13;14
Región del Libertador Gral. Bernardo O’Higgins;Codegua-Machalí;Empresa Eléctrica La Compañía SpA;Minicentral hidroeléctrica La Compañía;Hidro;6.4;2.56;6
Región Metropolitana de Santiago;Buin;ORION POWER S.A.;Parque Solar Fotovoltaico Champa;Solar;12;12.44;1
Región de Valparaíso;Casablanca;Saint George SpA;Parque Fotovoltaico Saint George del Verano;Solar;10.2;10.8;2
Región del Maule;Cauquenes;Carolina del Verano SpA;Parque Fotovoltaico Carolina Solar;Solar;380;497.0;13
Región del Biobío;Mulchén;Parque Solar Brillo SpA;Parque Fotovoltaico Brillo Solar;Solar;4.9;4.55;9
Región de Ñuble;El Carmen;Sol del Sur 7 SpA;Parque Fotovoltaico Labraña;Solar;9;11.016;3
Región de La Araucanía;Freire;MVC SOLAR 47 SpA;Parque Fotovoltaico Doña Sonia;Solar;11;10.68;14
Región de Ñuble;Chillán Viejo;Berrueco Energía SpA;PSF Chillán I;Solar;10;9.0;3
Región de Antofagasta;Sierra Gorda;Cuevitas Solar SpA;Parque Fotovoltaico Cuevitas;Solar;13;14.8;7
Región Aisén del Gral.Carlos Ibáñez del Campo;Coyhaique;Empresa Eléctrica de Aisén S.A.;Ampliación Parque Eólico Alto Baguales;Eólica;30;25.2;10
Región de Valparaíso;La Ligua-Papudo;CERRO BLANCO SPA;Parque Solar Pullalli;Solar;350;299.0;2
Región del Maule;Río Claro-San Rafael;Bellavista Solar SpA;Parque Fotovoltaico Hemera;Solar;130;90.0;13
Región del Libertador Gral. Bernardo O’Higgins;Codegua;SOLAR TI TREINTA Y OCHO SPA;Parque Fotovoltaico Santa Luisa;Solar;12;11.7;6
Región de Arica y Parinacota;Arica;PFV PARINA SPA;Parque Fotovoltaico Parina;Solar;66;16.77;5
Región de Atacama;Freirina;Genermin Spa;Central Solar Fotovoltaica El Sauce;Solar;130;100.0;16
Región de Atacama;Tierra Amarilla;Copiapó Solar SpA;Ampliación Central Desierto de Atacama;Solar;300;293.18;16
Región de Atacama;Vallenar;CMS SPVII SpA;Parque Fotovoltaico El Olivar;Solar;12.6;12.6;16
Región de Valparaíso;Nogales;Fotovoltaica Lo Conty SpA;Parque Fotovoltaico Pucalan Solar;Solar;8.3;8.27;2
Región de Valparaíso;Papudo;Leones Solar SpA;Parque Fotovoltaico Leones Solar;Solar;141.9;114.3;2
Región de Coquimbo;Ovalle;Parque Solar Amparo del Sol SpA;Ampliación Parque Fotovoltaico Amparo del Sol;Solar;0.4;0.359;15
Región de Atacama;Copiapó;Inca de Varas I S.A.;Central fotovoltaica Inca de Varas I;Solar;90;79.0;16
Región de Ñuble;Chillán;PV Power Chile SpA;Parque Fotovoltaico San Bernardo PMGD;Solar;11;10.52;3
Región Metropolitana de Santiago;Maipú;Grupo energy Lancuyen spa;Planta Solar La Rinconada;Solar;10;11.0;1
Región de Arica y Parinacota;Arica;PFV YAL SPA;Parque Fotovoltaico Yal;Solar;68;9.0;5
Región de Los Ríos;Los Lagos;Energia Renovable Perla SpA;Parque Fotovoltaico Los Lagos;Solar;15;12.46;4
Región de La Araucanía;Lautaro;Libertador Solar 8 SpA;Parque Fotovoltaico Violeta Solar;Solar;9;10.6;14
Región del Libertador Gral. Bernardo O’Higgins;Requinoa;SOLAR TI CINCUENTA Y TRES SPA;PFV Juan Gonzalo Solar;Solar;11;15.4;6
Región del Libertador Gral. Bernardo O’Higgins;Marchihue;Portezuelo SpA;Parque FV Portezuelo;Solar;146;141.0;6
Región de Atacama;Copiapó;GRENERGY RENOVABLES PACIFIC LIMITADA;Planta Fotovoltaica Travesía 9 MW;Solar;11;10.89;16
Región de Valparaíso;Catemu;Solek Chile Services SpA;Parque Fotovoltaico El Caqui;Solar;10;10.61;2
Región Metropolitana de Santiago;Colina;PV Power Chile SpA;Parque Fotovoltaico Colina;Solar;10.7;10.52;1
Región del Maule;San Javier;GR ALERCE SpA;Planta Fotovoltaica Lemu;Solar;4.9;6.02;13
Región del Maule;San Javier;MVC SOLAR 30 SpA;Parque Fotovoltaico Calle Larga;Solar;11;11.0;13
Región Metropolitana de Santiago;Til-Til;KPF SPA;Parque Fotovoltaico Ineusol;Solar;11;10.13;1
Región de La Araucanía;Villarrica;ENERGIA RENOVABLE AMBAR SPA;Parque Fotovoltaico El Rincon;Solar;11;11.04;14
Región del Maule;Pencahue;Hiruela Energía SpA;Parque Solar Fotovoltaico Pencahue;Solar;10;9.0;13
Región de Coquimbo;Salamanca;Joaquin Solar SpA;Ampliación Parque Fotovoltaico Chalinga Solar;Solar;1.5;0.47;15
Región de Antofagasta;Sierra Gorda;El Condor Solar SpA;Proyecto Fotovoltaico La Sierra;Solar;12;11.92;7
Región de Coquimbo;Ovalle;Sonnedix Parque Eolico Carica SpA;PARQUE EÓLICO CARICA;Eólica;290.1;92.4;15
Región de Antofagasta;Sierra Gorda;GR Lenga SpA;Parque Fotovoltaico Gabriela 220 MW;Solar;248;263.45;7
Región del Libertador Gral. Bernardo O’Higgins;Marchihue;Andino Los Maitenes SPA;Parque Fotovoltaico Andino Los Maitenes;Solar;90;93.0;6
Región de Atacama;Copiapó;Estancia Sunlight SpA;Parque Fotovoltaico Estancia Sunlight;Solar;10;13.44;16
Región del Maule;Molina;PFV YECO SPA;Parque Fotovoltaico Yeco;Solar;66;24.0;13
Región del Maule;Río Claro;Olivo SpA;Parque Solar Fotovoltaico Olivo;Solar;10.7;10.7;13
Región de Atacama;Vallenar;Avenir La Silla SpA;Parque Solar Fotovoltaico Nuevo Futuro;Solar;200;144.0;16
Región Metropolitana de Santiago;Talagante;Santa Marta SpA;Parque Fotovoltaico Santa Marta;Solar;10;14.97;1
Región del Biobío;Nacimiento;Parque Solar Gamma SpA;Parque Solar Gamma;Solar;10.2;11.36;9
Región de Atacama;Diego de Almagro;Colbún S.A.;Proyecto Diego de Almagro Sur 1;Solar;83.2;129.0;16
Región de Antofagasta;Calama;GR Lumilla SpA;Planta Fotovoltaica Pangui;Solar;13.5;10.752;7
Región de Antofagasta;Antofagasta;Astro Solar Spa.;Parque Fotovoltaico Antilco;Solar;10;15.0;7
Región de Antofagasta;Antofagasta;AR Llanos del Viento SpA;Parque Eólico Llanos del Viento;Eólica;400;222.6;7
Región del Maule;Linares;GENOVA SOLAR SPA;Nueva Central Solar Fotovoltaica GENOVA;Solar;10;9.979;13
Región de Valparaíso;Puchuncaví;PFV EL PITOTOY SPA;Parque Fotovoltaico El Pitotoy;Solar;12;12.0;2
Región del Libertador Gral. Bernardo O’Higgins;Requinoa;SOLAR TI CINCUENTA SPA;PFV José Solar;Solar;11;11.0;6
Región de Antofagasta;Taltal;Enel Green Power del Sur Spa;Proyecto Fotovoltaico Lalackama 3;Solar;199;181.0;7
Región del Biobío;Los Angeles;SANTA BARBARA ENERGY SpA;San Antonio Solar;Solar;12;10.0;9
Región del Biobío;Los Angeles;LUZ DE SOL 1 SPA;Parque Fotovoltaico Maquehue;Solar;10;11.016;9
Región del Libertador Gral. Bernardo O’Higgins;Marchihue;PFV PORTEZUELO SPA;Parque Fotovoltaico PMGD Portezuelo;Solar;15;7.14;6
Región de Atacama;Freirina;OPDE CHILE SpA;Parque Fotovoltaico Don Carlos;Solar;240;235.0;16
Región de Valparaíso;Casablanca;Juriques SpA;Parque Fotovoltaico Viñedo del Verano;Solar;10.2;10.81;2
Región de Antofagasta;Sierra Gorda;Enel Green Power Chile S.A.;Planta Fotovoltaica Sierra Gorda Solar;Solar;400;404.0;7
Región de Atacama;Freirina;Genermin SPA;Central Solar Fotovoltaica El Sauce;Solar;95;103.2;16
Región del Biobío;Los Angeles;Engie Energía Chile S.A.;Parque Eólico El Rosal;Eólica;230;184.8;9
Región del Maule;Curicó;SOLAR TI VEINTIOCHO SPA;Parque Solar Don Juve;Solar;12;12.19;13
Región de Arica y Parinacota;Arica-Camarones;Engie Energía Chile S.A.;Modificación Planta Solar Fotovoltaica Pampa Camarones;Solar;210;358.67;5
Región de Los Lagos;Osorno;Generadora Semilla SpA.;Planta Solar Fotovoltaica Montecinos;Solar;10;12.5;12
Región de Ñuble;Bulnes;Sayen Fotovoltaica SPA;Parque Fotovoltaico Bulnes;Solar;9;9.0;3
Región de Atacama;Vallenar-Freirina;FRV Services Chile SpA;Parque Fotovoltaico Llanos de Marañón;Solar;372;458.0;16
